Region,Crime_Type,Year,Qtr,No_of_Offences,Population_Num,Live_Register_Num,Mean_Disposable_Income,Rent_Rates,CPI_All_Items,CPI_Water_Electricity_Gas,GBP_per_Euro,USD_per_Euro,Sunshine_Hours,Rainfall(mm),At_Risk_of_Poverty_Rate,Consistent_Poverty_Rate,Daily_Internet_Users,Pupils_Finish_Leaving_Cert,Num_Practising_Religion,Garda’_Num,Marriages_Num,Government_Party,Tobacco_gm_per_capita,Alcohol_ltr_per_capita,Pop_In_Good_Health
Northern,Homicide offences,2003,1,3,439600,76927,,,3.5,-0.5,0.6825,1.0807,303.6,177.3,,,,81.1,246714,13504,2571,Fianna F‡il,2076,13.5,
Northern,Homicide offences,2003,2,0,439600,78418,,,3.5,-0.5,0.7022,1.1663,534.9,207.1,,,,81.1,246714,13504,4827,Fianna F‡il,2076,13.5,
Northern,Homicide offences,2003,3,6,439600,82115,,,3.5,-0.5,0.6969,1.1222,406.1,190.9,,,,81.1,246714,13504,7996,Fianna F‡il,2076,13.5,
Northern,Homicide offences,2003,4,2,439600,76250,,,3.5,-0.5,0.702,1.2286,189.3,268.4,,,,81.1,246714,13504,4908,Fianna F‡il,2076,13.5,
Northern,Homicide offences,2004,1,5,449800,77956,34756,,2.2,4.3,0.6712,1.2262,264.8,256.2,30.2,12.1,,82.6,,13796,2676,Fianna F‡il,1730,13.6,82.8
Northern,Homicide offences,2004,2,3,449800,75067,34756,,2.2,4.3,0.6643,1.2138,509.1,218.4,30.2,12.1,,82.6,,13796,4719,Fianna F‡il,1730,13.6,82.8
Northern,Homicide offences,2004,3,5,449800,77614,34756,,2.2,4.3,0.6813,1.2218,393.5,315.5,30.2,12.1,,82.6,,13796,8168,Fianna F‡il,1730,13.6,82.8
Northern,Homicide offences,2004,4,3,449800,69803,34756,,2.2,4.3,0.695,1.3408,141.7,348.8,30.2,12.1,,82.6,,13796,5056,Fianna F‡il,1730,13.6,82.8
Northern,Homicide offences,2005,1,6,457500,71688,38016,,2.5,10.4,0.6923,1.3201,203.5,279.5,29.1,13.2,,83.1,,13910,2909,Fianna F‡il,1737,13.4,82.7
Northern,Homicide offences,2005,2,4,457500,68817,38016,,2.5,10.4,0.669,1.2165,488.7,239.3,29.1,13.2,,83.1,,13910,5130,Fianna F‡il,1737,13.4,82.7
Northern,Homicide offences,2005,3,4,457500,72136,38016,,2.5,10.4,0.6776,1.2256,335.6,246.3,29.1,13.2,,83.1,,13910,8220,Fianna F‡il,1737,13.4,82.7
Northern,Homicide offences,2005,4,3,457500,65672,38016,,2.5,10.4,0.6792,1.1856,175.6,321,29.1,13.2,,83.1,,13910,4464,Fianna F‡il,1737,13.4,82.7
Northern,Homicide offences,2006,1,3,469800,68700,32977,,4,16.1,0.6893,1.202,242.9,215.4,28.2,10,,82.3,267264,14969,3267,Fianna F‡il,1721,13.4,83.1
