,,Pound Sterling per Euro,US Dollar per Euro
2003,Q1,0.6825,1.0807
2003,Q2,0.7022,1.1663
2003,Q3,0.6969,1.1222
2003,Q4,0.702,1.2286
2004,Q1,0.6712,1.2262
2004,Q2,0.6643,1.2138
2004,Q3,0.6813,1.2218
2004,Q4,0.695,1.3408
2005,Q1,0.6923,1.3201
2005,Q2,0.669,1.2165
2005,Q3,0.6776,1.2256
2005,Q4,0.6792,1.1856
2006,Q1,0.6893,1.202
2006,Q2,0.6866,1.265
2006,Q3,0.6751,1.2727
2006,Q4,0.6729,1.3213
2007,Q1,0.6802,1.3242
2007,Q2,0.6756,1.3419
2007,Q3,0.6889,1.3896
2007,Q4,0.7206,1.457
2008,Q1,0.7749,1.5527
2008,Q2,0.7915,1.5553
2008,Q3,0.7992,1.437
2008,Q4,0.9045,1.3449
2009,Q1,0.9197,1.305
2009,Q2,0.8567,1.4016
2009,Q3,0.8914,1.4562
2009,Q4,0.8997,1.4614
2010,Q1,0.9016,1.3569
2010,Q2,0.8277,1.2209
2010,Q3,0.8399,1.3067
2010,Q4,0.8481,1.322
2011,Q1,0.8665,1.3999
2011,Q2,0.8875,1.4388
2011,Q3,0.8717,1.377
2011,Q4,0.8441,1.3179
2012,Q1,0.8345,1.3201
2012,Q2,0.8058,1.2526
2012,Q3,0.7982,1.2856
2012,Q4,0.8124,1.3119
2013,Q1,0.86,1.2964
2013,Q2,0.8519,1.3189
2013,Q3,0.8417,1.3348
2013,Q4,0.8364,1.3704
2014,Q1,0.8317,1.3823
2014,Q2,0.8041,1.3592
2014,Q3,0.7911,1.2901
2014,Q4,0.7883,1.2331
2015,Q1,0.7236,1.0838
2015,Q2,0.7208,1.1213
2015,Q3,0.7313,1.1221
2015,Q4,0.726,1.0877
