Northern,Number Persons,Qtr,,,,Northern
2003M01,25856,,,,Q1,76927
2003M02,25698,,,,Q2,78418
2003M03,25373,Q1,76927,,Q3,82115
2003M04,25996,,,,Q4,76250
2003M05,25318,,,,Q1,77956
2003M06,27104,Q2,78418,,Q2,75067
2003M07,28022,,,,Q3,77614
2003M08,28177,,,,Q4,69803
2003M09,25916,Q3,82115,,Q1,71688
2003M10,25404,,,,Q2,68817
2003M11,25108,,,,Q3,72136
2003M12,25738,Q4,76250,,Q4,65672
2004M01,26210,,,,Q1,68700
2004M02,26048,,,,Q2,68269
2004M03,25698,Q1,77956,,Q3,71092
2004M04,24981,,,,Q4,65724
2004M05,24510,,,,Q1,69252
2004M06,25576,Q2,75067,,Q2,69030
2004M07,26816,,,,Q3,73046
2004M08,26665,,,,Q4,70325
2004M09,24133,Q3,77614,,Q1,82216
2004M10,23245,,,,Q2,89612
2004M11,22897,,,,Q3,105227
2004M12,23661,Q4,69803,,Q4,117909
2005M01,24362,,,,Q1,151440
2005M02,23878,,,,Q2,168537
2005M03,23448,Q1,71688,,Q3,180784
2005M04,22684,,,,Q4,175043
2005M05,22546,,,,Q1,183377
2005M06,23587,Q2,68817,,Q2,186545
2005M07,24853,,,,Q3,194227
2005M08,24914,,,,Q4,182548
2005M09,22369,Q3,72136,,Q1,187478
2005M10,21711,,,,Q2,189655
2005M11,21548,,,,Q3,195648
2005M12,22413,Q4,65672,,Q4,182981
2006M01,23088,,,,Q1,184989
2006M02,23064,,,,Q2,186071
2006M03,22548,Q1,68700,,Q3,191256
2006M04,22462,,,,Q4,177839
2006M05,22167,,,,Q1,180616
2006M06,23640,Q2,68269,,Q2,179821
2006M07,24496,,,,Q3,182798
2006M08,24575,,,,Q4,167366
2006M09,22021,Q3,71092,,Q1,167658
2006M10,21526,,,,Q2,167114
2006M11,21548,,,,Q3,167903
2006M12,22650,Q4,65724,,Q4,153033
2007M01,23334,,,,Q1,151980
2007M02,23191,,,,Q2,149030
2007M03,22727,Q1,69252,,Q3,151618
2007M04,22418,,,,Q4,137101
2007M05,22412,,,,Q1,136751
2007M06,24200,Q2,69030,,Q2,132962
2007M07,25184,,,,Q3,132274
2007M08,24963,,,,Q4,Western
2007M09,22899,Q3,73046,,Q1,51406
2007M10,22623,,,,Q2,51714
2007M11,23240,,,,Q3,54186
2007M12,24462,Q4,70325,,Q4,49596
2008M01,26130,,,,Q1,50298
2008M02,27433,,,,Q2,48642
2008M03,28653,Q1,82216,,Q3,51458
2008M04,28613,,,,Q4,45809
2008M05,29198,,,,Q1,46716
2008M06,31801,Q2,89612,,Q2,45186
2008M07,34466,,,,Q3,48473
2008M08,35850,,,,Q4,44030
2008M09,34911,Q3,105227,,Q1,45181
2008M10,36752,,,,Q2,44858
2008M11,39095,,,,Q3,47233
2008M12,42062,Q4,117909,,Q4,43554
2009M01,47670,,,,Q1,45926
2009M02,51075,,,,Q2,46145
2009M03,52695,Q1,151440,,Q3,50135
2009M04,54155,,,,Q4,47096
2009M05,55818,,,,Q1,54800
2009M06,58564,Q2,168537,,Q2,59729
2009M07,60947,,,,Q3,70407
2009M08,61431,,,,Q4,77841
2009M09,58406,Q3,180784,,Q1,100042
2009M10,57658,,,,Q2,111816
2009M11,57908,,,,Q3,122578
2009M12,59477,Q4,175043,,Q4,116076
2010M01,61413,,,,Q1,121848
2010M02,61161,,,,Q2,121933
2010M03,60803,Q1,183377,,Q3,127675
2010M04,60605,,,,Q4,118751
2010M05,61810,,,,Q1,123038
2010M06,64130,Q2,186545,,Q2,123585
2010M07,66233,,,,Q3,126911
2010M08,66070,,,,Q4,117644
2010M09,61924,Q3,194227,,Q1,119303
2010M10,60362,,,,Q2,117915
2010M11,60152,,,,Q3,122434
2010M12,62034,Q4,182548,,Q4,114886
2011M01,62516,,,,Q1,117724
2011M02,62827,,,,Q2,116588
2011M03,62135,Q1,187478,,Q3,117687
2011M04,62151,,,,Q4,107645
2011M05,62391,,,,Q1,108311
2011M06,65113,Q2,189655,,Q2,106727
2011M07,66861,,,,Q3,106089
2011M08,66717,,,,Q4,96802
2011M09,62070,Q3,195648,,Q1,96854
2011M10,60806,,,,Q2,94431
2011M11,60621,,,,Q3,95672
2011M12,61554,Q4,182981,,Q4,86706
2012M01,62096,,,,Q1,86997
2012M02,61872,,,,Q2,84171
2012M03,61021,Q1,184989,,Q3,84097
2012M04,60685,,,,Q4,Dublin
2012M05,60944,,,,Q1,130300
2012M06,64442,Q2,186071,,Q2,133990
2012M07,65650,,,,Q3,142672
2012M08,64981,,,,Q4,129100
2012M09,60625,Q3,191256,,Q1,133378
2012M10,59201,,,,Q2,129509
2012M11,58943,,,,Q3,132156
2012M12,59695,Q4,177839,,Q4,116522
2013M01,60368,,,,Q1,119383
2013M02,60408,,,,Q2,119010
2013M03,59840,Q1,180616,,Q3,127966
2013M04,58508,,,,Q4,118179
2013M05,59517,,,,Q1,122385
2013M06,61796,Q2,179821,,Q2,121969
2013M07,62957,,,,Q3,126601
2013M08,61909,,,,Q4,113682
2013M09,57932,Q3,182798,,Q1,117890
2013M10,56137,,,,Q2,119955
2013M11,55498,,,,Q3,127708
2013M12,55731,Q4,167366,,Q4,119210
2014M01,56516,,,,Q1,134054
2014M02,56079,,,,Q2,146478
2014M03,55063,Q1,167658,,Q3,171010
2014M04,54902,,,,Q4,188013
2014M05,55012,,,,Q1,244840
2014M06,57200,Q2,167114,,Q2,287136
2014M07,58133,,,,Q3,311749
2014M08,56883,,,,Q4,300482
2014M09,52887,Q3,167903,,Q1,311064
2014M10,51452,,,,Q2,317658
2014M11,50626,,,,Q3,331979
2014M12,50955,Q4,153033,,Q4,304797
2015M01,51441,,,,Q1,312757
2015M02,50785,,,,Q2,319436
2015M03,49754,Q1,151980,,Q3,331193
2015M04,48887,,,,Q4,306935
2015M05,49186,,,,Q1,311985
2015M06,50957,Q2,149030,,Q2,317220
2015M07,52148,,,,Q3,326025
2015M08,51650,,,,Q4,301172
2015M09,47820,Q3,151618,,Q1,306829
2015M10,45936,,,,Q2,307838
2015M11,45271,,,,Q3,313238
2015M12,45894,Q4,137101,,Q4,284758
2016M01,45944,,,,Q1,285949
2016M02,45570,,,,Q2,286944
2016M03,45237,Q1,136751,,Q3,287464
2016M04,43743,,,,Q4,255873
2016M05,43887,,,,Q1,253447
2016M06,45332,Q2,132962,,Q2,252613
2016M07,45808,,,,Q3,255794
2016M08,45463,,,,Q4,229575
2016M09,41003,Q3,132274,,Q1,228663
Western,,,,,Q2,225542
2003M01,17280,,,,Q3,225441
2003M02,17240,,,,Q4,Eastern
2003M03,16886,Q1,51406,,Q1,64525
2003M04,16886,,,,Q2,65324
2003M05,16785,,,,Q3,68146
2003M06,18043,Q2,51714,,Q4,64312
2003M07,18711,,,,Q1,66462
2003M08,18755,,,,Q2,63567
2003M09,16720,Q3,54186,,Q3,65449
2003M10,16473,,,,Q4,63690
2003M11,16280,,,,Q1,63114
2003M12,16843,Q4,49596,,Q2,60365
2004M01,17079,,,,Q3,63318
2004M02,16859,,,,Q4,59754
2004M03,16360,Q1,50298,,Q1,62901
2004M04,15964,,,,Q2,61727
2004M05,15912,,,,Q3,64406
2004M06,16766,Q2,48642,,Q4,59577
2004M07,17785,,,,Q1,62508
2004M08,17737,,,,Q2,61644
2004M09,15936,Q3,51458,,Q3,65397
2004M10,15336,,,,Q4,64278
2004M11,14990,,,,Q1,77056
2004M12,15483,Q4,45809,,Q2,83878
2005M01,15744,,,,Q3,96859
2005M02,15549,,,,Q4,107764
2005M03,15423,Q1,46716,,Q1,135929
2005M04,14730,,,,Q2,151517
2005M05,14811,,,,Q3,163406
2005M06,15645,Q2,45186,,Q4,160960
2005M07,16727,,,,Q1,168325
2005M08,16873,,,,Q2,171185
2005M09,14873,Q3,48473,,Q3,176696
2005M10,14525,,,,Q4,166943
2005M11,14529,,,,Q1,172023
2005M12,14976,Q4,44030,,Q2,174071
2006M01,15203,,,,Q3,178227
2006M02,15184,,,,Q4,169937
2006M03,14794,Q1,45181,,Q1,172399
2006M04,14551,,,,Q2,172637
2006M05,14593,,,,Q3,176208
2006M06,15714,Q2,44858,,Q4,165942
2006M07,16250,,,,Q1,168721
2006M08,16471,,,,Q2,167784
2006M09,14512,Q3,47233,,Q3,168444
2006M10,14143,,,,Q4,155952
2006M11,14370,,,,Q1,157147
2006M12,15041,Q4,43554,,Q2,154612
2007M01,15348,,,,Q3,154335
2007M02,15452,,,,Q4,141621
2007M03,15126,Q1,45926,,Q1,141290
2007M04,14837,,,,Q2,139879
2007M05,14954,,,,Q3,140307
2007M06,16354,Q2,46145,,Q4,128595
2007M07,17204,,,,Q1,128299
2007M08,17284,,,,Q2,124942
2007M09,15647,Q3,50135,,Q3,123179
2007M10,15173,,,,Q4,Southern
2007M11,15567,,,,Q1,74219
2007M12,16356,Q4,47096,,Q2,71974
2008M01,17538,,,,Q3,73708
2008M02,18298,,,,Q4,70491
2008M03,18964,Q1,54800,,Q1,72648
2008M04,18767,,,,Q2,66973
2008M05,19465,,,,Q3,69611
2008M06,21497,Q2,59729,,Q4,65610
2008M07,23253,,,,Q1,68019
2008M08,24164,,,,Q2,63499
2008M09,22990,Q3,70407,,Q3,66827
2008M10,24054,,,,Q4,64067
2008M11,25878,,,,Q1,66930
2008M12,27909,Q4,77841,,Q2,64591
2009M01,31397,,,,Q3,66460
2009M02,33671,,,,Q4,63424
2009M03,34974,Q1,100042,,Q1,66363
2009M04,35771,,,,Q2,64234
2009M05,36793,,,,Q3,69407
2009M06,39252,Q2,111816,,Q4,68224
2009M07,41062,,,,Q1,79319
2009M08,41689,,,,Q2,83917
2009M09,39827,Q3,122578,,Q3,98923
2009M10,38518,,,,Q4,110013
2009M11,38280,,,,Q1,144750
2009M12,39278,Q4,116076,,Q2,162459
2010M01,40874,,,,Q3,176334
2010M02,40734,,,,Q4,175046
2010M03,40240,Q1,121848,,Q1,184968
2010M04,39696,,,,Q2,183488
2010M05,40359,,,,Q3,188267
2010M06,41878,Q2,121933,,Q4,180295
2010M07,43492,,,,Q1,187053
2010M08,43516,,,,Q2,184012
2010M09,40667,Q3,127675,,Q3,187320
2010M10,39351,,,,Q4,179669
2010M11,39048,,,,Q1,182903
2010M12,40352,Q4,118751,,Q2,179365
2011M01,41103,,,,Q3,180902
2011M02,41163,,,,Q4,172494
2011M03,40772,Q1,123038,,Q1,175287
2011M04,40420,,,,Q2,169699
2011M05,40769,,,,Q3,167658
2011M06,42396,Q2,123585,,Q4,156629
2011M07,43560,,,,Q1,158539
2011M08,43542,,,,Q2,153510
2011M09,39809,Q3,126911,,Q3,150166
2011M10,38950,,,,Q4,139537
2011M11,39022,,,,Q1,141481
2011M12,39672,Q4,117644,,Q2,135845
2012M01,40090,,,,Q3,135231
2012M02,40004,,,,,124272
2012M03,39209,Q1,119303,,,125724
2012M04,38561,,,,,117331
2012M05,38717,,,,,114979
2012M06,40637,Q2,117915,,,
2012M07,41739,,,,,
2012M08,41882,,,,,
2012M09,38813,Q3,122434,,,
2012M10,37896,,,,,
2012M11,37997,,,,,
2012M12,38993,Q4,114886,,,
2013M01,39316,,,,,
2013M02,39390,,,,,
2013M03,39018,Q1,117724,,,
2013M04,38144,,,,,
2013M05,38589,,,,,
2013M06,39855,Q2,116588,,,
2013M07,40604,,,,,
