,,National,Dublin,North,West,East,South
2003,Q1,,,,,,
2003,Q2,,,,,,
2003,Q3,,,,,,
2003,Q4,,,,,,
2004,Q1,,,,,,
2004,Q2,,,,,,
2004,Q3,,,,,,
2004,Q4,,,,,,
2005,Q1,101.4,102.9,,,,
2005,Q2,103.7,104.5,,,,
2005,Q3,108.2,109.7,,,,
2005,Q4,112.6,114.9,,,,
2006,Q1,114.1,117.1,,,,
2006,Q2,120.3,125.5,,,,
2006,Q3,126.8,133.5,,,,
2006,Q4,128.6,134.1,,,,
2007,Q1,130.5,133.7,,,,
2007,Q2,130.3,133,,,,
2007,Q3,130.4,133.3,,,,
2007,Q4,129.2,130.5,,,,
2008,Q1,125.9,126.1,,,,
2008,Q2,122.3,124.9,,,,
2008,Q3,118.8,117.5,,,,
2008,Q4,111.9,108,,,,
2009,Q1,103.2,96.6,,,,
2009,Q2,96.9,89.8,,,,
2009,Q3,94.2,88.6,,,,
2009,Q4,91.5,83.2,,,,
2010,Q1,87.5,77,95,96,91.9,98
2010,Q2,85,75.1,87.8,96.7,88.4,96.9
2010,Q3,83.3,75.4,87.9,94.4,85.3,91.7
2010,Q4,78.6,71.2,85.7,86.3,81.5,85.9
2011,Q1,74.8,67.2,81.9,80,78.5,82.4
2011,Q2,71.5,65.5,71.9,77.4,74.4,78.7
2011,Q3,67.9,61.8,64.8,78.2,69.6,77.1
2011,Q4,64.1,58.1,64.7,74.1,64,73.8
2012,Q1,61.6,55.6,62.1,68.8,59.2,71.6
2012,Q2,60.5,55.5,58.5,65.4,57.7,68.4
2012,Q3,61.4,58,54.4,63.1,59,67.5
2012,Q4,61.7,59.4,53.2,61.3,60.5,67.2
2013,Q1,59.7,58.2,49.3,58.9,59.8,65.6
2013,Q2,61.5,61.8,48.9,58.4,58.2,64.4
2013,Q3,65.5,67,51.9,58,60.1,65.1
2013,Q4,67.2,69,50.6,59.5,62.5,66.9
2014,Q1,67.3,69.9,49,59.3,64.3,67.3
2014,Q2,73,77.2,50.1,63,67.4,68.3
2014,Q3,78.4,83.4,53.1,66.5,72.9,72.4
2014,Q4,78.7,82.6,55.5,67.5,77.4,76.2
2015,Q1,77.6,82.6,56.1,65.2,79.2,77
2015,Q2,79.5,83.8,57.2,66.9,81,78.9
2015,Q3,81.7,85.2,61.1,67.9,83.3,81.7
2015,Q4,82.3,85.8,62.9,69.8,84,84.2
