"Total Rainfall (Millimetres) by Month and Meteorological Weather Station"

" ","Belmullet","Cork airport","Dublin airport","Malin head","Mullingar"
"2003M01",83.0,75.8,53.9,90.2,52.4
"2003M02",56.8,81.0,21.1,45.9,37.7
"2003M03",96.6,71.4,30.3,41.2,44.7
"2003M04",34.8,123.1,34.0,32.9,63.5
"2003M05",130.0,109.0,96.5,104.4,128.5
"2003M06",63.3,107.0,88.4,69.8,79.5
"2003M07",118.7,95.9,46.0,94.7,61.3
"2003M08",25.0,23.1,14.4,23.0,13.2
"2003M09",95.2,55.5,37.3,73.2,48.7
"2003M10",72.1,27.7,106.3,66.3,44.1
"2003M11",167.1,125.0,54.8,99.8,79.6
"2003M12",129.4,72.8,60.2,102.3,79.6
"2004M01",148.5,107.7,82.6,158.3,108.0
"2004M02",63.0,77.7,19.7,44.1,31.8
"2004M03",97.9,119.9,44.4,53.8,62.9
"2004M04",87.4,59.4,31.2,74.8,58.6
"2004M05",37.4,46.2,49.8,35.3,51.6
"2004M06",87.1,100.0,50.1,108.3,68.5
"2004M07",77.1,54.8,37.9,98.6,50.8
"2004M08",55.4,178.5,133.8,80.2,121.9
"2004M09",126.2,99.1,98.3,136.7,86.8
"2004M10",142.0,167.1,120.0,112.0,156.3
"2004M11",66.7,35.0,39.8,94.6,69.1
"2004M12",144.1,70.8,44.8,142.2,88.7
"2005M01",203.5,124.6,63.6,139.1,125.0
"2005M02",61.9,29.9,40.6,75.2,38.8
"2005M03",39.6,83.2,14.4,65.2,69.2
"2005M04",96.1,134.2,57.0,78.8,74.5
"2005M05",106.4,94.4,69.5,94.6,90.3
"2005M06",68.1,53.5,28.3,65.9,33.3
"2005M07",32.3,105.2,83.9,24.3,67.3
"2005M08",88.0,52.2,25.3,128.0,58.1
"2005M09",144.4,111.3,55.8,94.0,59.5
"2005M10",138.0,219.3,101.5,109.5,108.6
"2005M11",115.7,108.7,50.7,107.7,77.1
"2005M12",125.5,74.5,68.9,103.8,62.7
"2006M01",110.8,48.9,16.3,67.6,38.5
"2006M02",86.5,28.9,38.3,40.6,45.3
"2006M03",101.3,112.4,68.7,107.2,118.7
"2006M04",75.2,30.0,40.8,69.9,51.0
"2006M05",123.2,134.5,125.8,73.4,133.3
"2006M06",36.1,14.8,19.2,63.3,20.8
"2006M07",71.0,58.6,18.2,74.1,48.5
"2006M08",32.9,69.9,57.6,73.1,61.0
"2006M09",194.7,179.0,89.5,112.7,133.1
"2006M10",135.8,184.7,102.7,123.9,106.2
"2006M11",184.9,155.0,69.1,170.2,88.4
"2006M12",247.1,183.0,94.4,184.7,160.6
"2007M01",148.4,87.9,72.8,161.5,116.7
"2007M02",76.6,141.9,77.8,69.3,70.3
"2007M03",100.1,89.3,62.1,59.7,65.3
"2007M04",54.7,27.1,14.7,32.6,22.3
"2007M05",73.7,64.5,35.0,101.8,63.8
"2007M06",71.9,156.9,134.4,83.3,108.2
"2007M07",102.0,116.3,119.1,105.4,150.1
"2007M08",88.9,80.4,95.5,86.2,108.2
"2007M09",59.9,36.1,39.2,79.5,44.9
"2007M10",106.7,64.0,15.7,77.0,46.6
"2007M11",111.2,57.2,54.0,102.1,60.5
"2007M12",145.7,134.3,64.1,109.4,119.5
"2008M01",171.5,195.1,96.9,188.9,146.3
"2008M02",116.4,49.8,14.7,89.6,54.7
"2008M03",157.4,113.5,102.4,142.7,96.8
"2008M04",67.7,53.7,27.0,54.2,57.0
"2008M05",40.2,75.6,32.7,7.4,23.5
"2008M06",127.6,138.5,76.4,74.8,88.8
"2008M07",44.3,148.1,111.5,125.8,109.3
"2008M08",192.1,163.6,192.4,123.2,159.4
"2008M09",112.4,123.8,111.8,89.9,100.0
"2008M10",177.5,139.2,97.4,144.8,123.9
"2008M11",136.2,79.4,39.6,115.6,75.6
"2008M12",94.8,60.2,39.5,85.7,61.3
"2009M01",142.6,201.9,62.0,98.8,104.6
"2009M02",46.0,17.0,56.8,42.0,25.8
"2009M03",90.5,41.1,25.5,86.0,40.5
"2009M04",114.8,159.8,71.6,97.1,108.1
"2009M05",81.3,85.7,75.0,92.8,69.8
"2009M06",49.0,84.8,76.2,49.3,90.6
"2009M07",113.3,203.7,153.9,70.6,192.4
"2009M08",180.8,155.5,69.1,165.9,135.1
"2009M09",45.6,53.8,24.2,71.0,38.1
"2009M10",114.5,180.6,84.9,118.5,111.7
"2009M11",208.5,232.8,149.4,217.7,191.6
