 ,South,Dublin,North,East,West,,,,South,Dublin,North,East,West
2003M01,75.8,53.9,90.2,52.4,43.6,,2003,Q1,228.2,105.3,177.3,134.8,150.7
2003M02,81,21.1,45.9,37.7,52.6,,2003,Q2,339.1,218.9,207.1,271.5,240.3
2003M03,71.4,30.3,41.2,44.7,54.5,,2003,Q3,174.5,97.7,190.9,123.2,124.9
2003M04,123.1,34,32.9,63.5,43.2,,2003,Q4,225.5,221.3,268.4,203.3,256.2
2003M05,109,96.5,104.4,128.5,91.5,,2004,Q1,305.3,146.7,256.2,202.7,204.6
2003M06,107,88.4,69.8,79.5,105.6,,2004,Q2,205.6,131.1,218.4,178.7,148
2003M07,95.9,46,94.7,61.3,76.5,,2004,Q3,332.4,270,315.5,259.5,253
2003M08,23.1,14.4,23,13.2,11.1,,2004,Q4,272.9,204.6,348.8,314.1,296.6
2003M09,55.5,37.3,73.2,48.7,37.3,,2005,Q1,237.7,118.6,279.5,233,230.5
2003M10,27.7,106.3,66.3,44.1,50.6,,2005,Q2,282.1,154.8,239.3,198.1,239.1
2003M11,125,54.8,99.8,79.6,111.4,,2005,Q3,268.7,165,246.3,184.9,196.3
2003M12,72.8,60.2,102.3,79.6,94.2,,2005,Q4,402.5,221.1,321,248.4,248.8
2004M01,107.7,82.6,158.3,108,107.5,,2006,Q1,190.2,123.3,215.4,202.5,197
2004M02,77.7,19.7,44.1,31.8,28.1,,2006,Q2,179.3,185.8,206.6,205.1,176.3
2004M03,119.9,44.4,53.8,62.9,69,,2006,Q3,307.5,165.3,259.9,242.6,219.3
2004M04,59.4,31.2,74.8,58.6,43.9,,2006,Q4,522.7,266.2,478.8,355.2,379
2004M05,46.2,49.8,35.3,51.6,35.8,,2007,Q1,319.1,212.7,290.5,252.3,224.2
2004M06,100,50.1,108.3,68.5,68.3,,2007,Q2,248.5,184.1,217.7,194.3,184.5
2004M07,54.8,37.9,98.6,50.8,66.6,,2007,Q3,232.8,253.8,271.1,303.2,245.7
2004M08,178.5,133.8,80.2,121.9,88.1,,2007,Q4,255.5,133.8,288.5,226.6,264.6
2004M09,99.1,98.3,136.7,86.8,98.3,,2008,Q1,358.4,214,421.2,297.8,384.8
2004M10,167.1,120,112,156.3,139.1,,2008,Q2,267.8,136.1,136.4,169.3,195.9
2004M11,35,39.8,94.6,69.1,66.6,,2008,Q3,435.5,415.7,338.9,368.7,363.8
2004M12,70.8,44.8,142.2,88.7,90.9,,2008,Q4,278.8,176.5,346.1,260.8,323.7
2005M01,124.6,63.6,139.1,125,123.4,,2009,Q1,260,144.3,226.8,170.9,200.1
2005M02,29.9,40.6,75.2,38.8,50.1,,2009,Q2,330.3,222.8,239.2,268.5,248.2
2005M03,83.2,14.4,65.2,69.2,57,,2009,Q3,413,247.2,307.5,365.6,292.3
2005M04,134.2,57,78.8,74.5,91.3,,2009,Q4,571,305.9,393.2,377.5,422.9
2005M05,94.4,69.5,94.6,90.3,92.5,,2010,Q1,264.6,134.2,238.7,169.1,147.8
2005M06,53.5,28.3,65.9,33.3,55.3,,2010,Q2,151.6,118.8,147.5,154.4,163.3
2005M07,105.2,83.9,24.3,67.3,43.9,,2010,Q3,218,228.2,339.6,353,298.8
2005M08,52.2,25.3,128,58.1,71.4,,2010,Q4,270.5,187.7,254.4,219.9,235.2
2005M09,111.3,55.8,94,59.5,81,,2011,Q1,239.2,124.7,252.7,203,257.8
2005M10,219.3,101.5,109.5,108.6,103.9,,2011,Q2,250.7,129.7,251.1,167.1,247.6
2005M11,108.7,50.7,107.7,77.1,80.5,,2011,Q3,206.7,169.6,261.9,247.9,176.9
2005M12,74.5,68.9,103.8,62.7,64.4,,2011,Q4,327.5,248.1,465.6,327.8,330.9
2006M01,48.9,16.3,67.6,38.5,53.8,,2012,Q1,213.3,158.8,287.1,202.1,225.5
2006M02,28.9,38.3,40.6,45.3,38.3,,2012,Q2,383.8,298.5,238.7,305.7,283.9
2006M03,112.4,68.7,107.2,118.7,104.9,,2012,Q3,322.3,247.1,317.8,309.5,263.8
2006M04,30,40.8,69.9,51,31.3,,2012,Q4,362.1,194.8,360.9,250.1,322
2006M05,134.5,125.8,73.4,133.3,125.8,,2013,Q1,345.5,227.2,275.5,212.7,185.1
2006M06,14.8,19.2,63.3,20.8,19.2,,2013,Q2,277.9,143.3,249.8,213.1,195.3
2006M07,58.6,18.2,74.1,48.5,28.5,,2013,Q3,177.4,156.8,218.7,176,173.9
